DEPTH,CALI,GR,ILD,PEF,RHOB,NPHI,SHALE
5000,8.8,125,2.6,2.6,2.199,0.403,1
5000.5,8.8,129,2.5,2.7,2.209,0.373,1
5001,8.8,133,2.6,2.9,2.232,0.378,1
5001.5,8.8,142,2.8,3.1,2.268,0.386,1
5002,8.7,147,3.1,2.9,2.295,0.375,1
5002.5,8.8,146,3.4,3,2.286,0.358,1
5003,8.7,140,3.5,3.4,2.312,0.36,1
5003.5,8.2,138,3.5,3.1,2.338,0.387,1
5004,8.4,143,3.5,2.7,2.324,0.4,1
5004.5,8.5,145,3.5,2.2,2.258,0.392,1
5005,8.6,143,3.8,2.3,2.231,0.399,1
5005.5,8.6,139,4.3,2.3,2.257,0.397,1
5006,8.7,143,4.8,2.5,2.271,0.408,1
5006.5,8.7,144,5.1,2.7,2.298,0.381,1
5007,8.5,129,5.4,3.6,2.367,0.35,1
5007.5,7.9,100,5.5,3.4,2.452,0.363,1
5008,7.8,79,5.3,2.8,2.358,0.422,1
5008.5,7.8,83,5.5,2.4,2.023,0.467,1
5009,8,99,5.6,2.1,1.891,0.432,0
5009.5,8.8,112,5.4,2.1,1.929,0.368,0
5010,9.4,114,4.9,2.2,2.167,0.347,0
5010.5,9.5,115,4.3,2.2,2.36,0.328,1
5011,9.4,114,3.8,2.5,2.404,0.331,1
5011.5,9.3,115,3.5,2.6,2.418,0.327,1
5012,9.3,114,3.4,2.9,2.459,0.328,1
5012.5,9.2,116,3.3,3,2.478,0.336,1
5013,9.1,115,3.3,3.1,2.47,0.334,1
5013.5,9.1,118,3.3,3,2.452,0.342,1
5014,9.2,117,3.3,2.9,2.439,0.335,1
5014.5,9.2,116,3.2,3,2.458,0.348,1
5015,8.9,113,3.1,3,2.478,0.357,1
5015.5,9,108,3.1,3.2,2.473,0.347,1
5016,9,108,3,3.2,2.474,0.354,1
5016.5,9.2,107,2.9,3.2,2.485,0.372,1
5017,9.1,107,2.9,2.8,2.417,0.415,1
5017.5,9.3,106,2.9,2.8,2.343,0.382,1
5018,9.5,107,2.9,2.6,2.349,0.375,1
5018.5,9.5,111,2.9,2.7,2.408,0.343,1
5019,9.4,111,2.9,2.8,2.419,0.363,1
5019.5,9.4,109,2.9,2.7,2.419,0.357,1
5020,9.3,104,2.9,2.7,2.407,0.356,1
5020.5,9.4,105,2.8,2.6,2.386,0.362,1
5021,9.4,105,2.8,2.8,2.363,0.368,1
5021.5,9.4,107,2.9,3,2.379,0.36,1
5022,9.5,102,2.8,3,2.428,0.342,1
5022.5,9.4,104,2.8,3,2.465,0.364,1
5023,9.4,106,2.8,2.8,2.47,0.379,1
5023.5,9.4,111,2.8,2.6,2.43,0.37,1
5024,9.3,108,2.8,2.7,2.407,0.326,1
5024.5,9.3,106,2.9,2.8,2.427,0.326,1
5025,9.4,108,3,3.2,2.457,0.383,1
5025.5,9.4,111,3.2,2.9,2.474,0.415,1
5026,9.4,100,3.4,2.8,2.423,0.358,1
5026.5,9.4,90,3.4,3,2.398,0.248,0
5027,8.7,87,3.4,3.7,2.441,0.23,0
5027.5,8.4,102,3.5,3.6,2.543,0.284,1
5028,8.8,113,3.5,3.3,2.492,0.342,1
5028.5,9.2,116,3.6,2.9,2.406,0.357,1
5029,9.5,114,3.6,2.9,2.394,0.346,1
5029.5,9.5,111,3.4,2.9,2.443,0.334,1
5030,9.6,111,3.3,3.2,2.471,0.306,1
5030.5,9.5,111,3.2,3.1,2.459,0.309,1
5031,9,117,3.1,3.1,2.45,0.319,1
5031.5,8.8,123,3.1,2.9,2.456,0.32,1
5032,8.8,123,3.1,3,2.469,0.323,1
5032.5,8.7,122,3.2,3.2,2.489,0.333,1
5033,8.8,117,3.2,3.1,2.48,0.329,1
5033.5,9,118,3.2,3.1,2.461,0.328,1
5034,9.1,115,3.2,2.9,2.428,0.314,1
5034.5,9,113,3.2,3,2.423,0.317,1
5035,9,114,3.3,3,2.418,0.321,1
5035.5,8.8,113,3.3,3.1,2.437,0.324,1
5036,8.9,118,3.3,3.1,2.455,0.329,1
5036.5,8.9,115,3.4,3.1,2.465,0.33,1
5037,9,118,3.4,2.9,2.463,0.331,1
5037.5,9.1,123,3.5,2.7,2.453,0.343,1
5038,9.1,128,3.6,2.6,2.425,0.347,1
5038.5,9.1,132,3.6,2.7,2.428,0.349,1
5039,9,123,3.7,2.8,2.466,0.35,1
5039.5,9,121,3.8,2.9,2.469,0.339,1
5040,8.8,115,3.8,2.7,2.425,0.339,1
5040.5,8.8,118,3.9,2.9,2.377,0.339,1
5041,8.8,113,3.9,2.9,2.382,0.346,1
5041.5,8.8,117,4,3.1,2.395,0.365,1
5042,8.8,120,3.9,3,2.412,0.358,1
5042.5,8.6,123,3.9,3.1,2.47,0.358,1
5043,8.7,122,3.9,3.2,2.525,0.329,1
5043.5,8.8,121,3.9,3.3,2.529,0.331,1
5044,8.8,121,3.9,3.2,2.534,0.325,1
5044.5,8.8,116,3.9,3,2.559,0.337,1
5045,8.8,116,3.9,3,2.535,0.317,1
5045.5,8.7,118,3.9,3,2.503,0.317,1
5046,8.5,120,3.9,3.1,2.534,0.325,1
5046.5,8.5,116,4,3.1,2.57,0.334,1
5047,8.5,114,3.9,3,2.532,0.343,1
5047.5,8.6,111,3.9,2.9,2.498,0.335,1
5048,8.6,110,4,2.8,2.471,0.35,1
5048.5,8.5,114,3.9,2.7,2.518,0.358,1
5049,8.6,113,3.9,2.8,2.534,0.367,1
5049.5,9.1,115,3.9,2.8,2.495,0.371,1
5050,9.1,109,3.9,2.8,2.418,0.362,1
5050.5,8.7,111,4,2.6,2.364,0.36,1
5051,8.4,111,4,2.6,2.291,0.341,1
5051.5,8.6,112,4,2.6,2.275,0.337,1
5052,8.7,113,4,2.7,2.346,0.332,1
5052.5,8.6,111,4,2.7,2.443,0.343,1
5053,8.7,115,4,2.7,2.471,0.34,1
5053.5,8.6,114,4.1,2.5,2.453,0.357,1
5054,8.9,106,4.5,2.5,2.442,0.394,1
5054.5,8.3,93,5.2,2.5,2.447,0.371,1
5055,8.3,79,6.1,3,2.503,0.262,1
5055.5,8.3,60,6.9,3.6,2.672,0.122,1
5056,8.2,42,7.7,4.8,2.773,0.043,0
5056.5,8.2,28,7.9,5.1,2.755,0.034,0
5057,8.2,35,7.6,4.7,2.762,0.081,0
5057.5,8.3,59,7.6,3.5,2.531,0.176,0
5058,8.9,85,7.1,3,2.212,0.256,0
5058.5,9.1,104,6.3,2.3,2.114,0.312,0
5059,9,105,5.4,2.4,2.157,0.317,0
5059.5,9.1,108,4.6,2.6,2.345,0.321,1
5060,8.9,106,4,2.8,2.455,0.312,1
5060.5,8.9,111,3.7,2.9,2.465,0.324,1
5061,8.9,112,3.6,3,2.421,0.336,1
5061.5,8.8,115,3.6,3,2.358,0.336,1
5062,8.9,113,3.6,2.8,2.349,0.322,1
5062.5,8.9,112,3.6,2.8,2.417,0.338,1
5063,9.2,111,3.7,2.7,2.459,0.364,1
5063.5,9.4,113,3.7,2.7,2.417,0.373,1
5064,9.2,113,3.7,2.6,2.374,0.366,1
5064.5,8.8,112,3.8,2.6,2.419,0.315,1
5065,8.6,113,3.9,2.8,2.446,0.292,1
5065.5,8.6,110,3.9,3.1,2.456,0.261,1
5066,8.5,107,3.9,3.1,2.473,0.279,1
5066.5,8.6,105,3.9,2.9,2.502,0.285,1
5067,9,107,3.9,2.9,2.482,0.295,1
5067.5,9.1,107,4,2.9,2.471,0.303,1
5068,9,105,4,2.8,2.486,0.327,1
5068.5,8.9,104,3.9,2.6,2.492,0.337,1
5069,8.8,103,3.8,2.7,2.446,0.354,1
5069.5,8.8,104,3.8,2.7,2.439,0.331,1
5070,9,104,3.7,2.8,2.452,0.311,1
5070.5,9.1,106,3.7,3,2.488,0.294,1
5071,9.1,110,3.7,3.3,2.561,0.296,1
5071.5,9.1,110,3.8,3.1,2.622,0.311,1
5072,9.1,109,3.8,3,2.601,0.313,1
5072.5,9.1,109,3.8,3,2.557,0.31,1
5073,8.9,108,3.7,2.9,2.547,0.318,1
5073.5,9.1,108,3.7,2.9,2.543,0.322,1
5074,9.3,105,3.7,2.8,2.533,0.335,1
5074.5,9.4,109,3.7,2.9,2.541,0.345,1
5075,9.4,112,3.7,2.7,2.546,0.362,1
5075.5,9.3,115,3.7,2.8,2.546,0.367,1
5076,9.1,111,3.7,2.8,2.454,0.34,1
5076.5,8.8,111,3.7,2.9,2.426,0.332,1
5077,9.2,108,3.7,2.8,2.446,0.328,1
5077.5,9.3,104,3.8,2.8,2.449,0.332,1
5078,8.9,101,3.9,2.9,2.481,0.328,1
5078.5,9,103,4,2.8,2.565,0.331,1
5079,8.9,112,4.1,2.7,2.54,0.333,1
5079.5,8.7,112,4.2,2.8,2.437,0.363,1
5080,8.5,104,4.2,2.6,2.297,0.402,1
5080.5,8.4,93,4.2,2.5,2.155,0.43,1
5081,9,93,4.3,2.3,2.084,0.403,1
5081.5,9.5,105,4.4,2.4,2.133,0.346,0
5082,9.2,111,4.7,2.5,2.312,0.33,1
5082.5,8.6,114,4.9,2.6,2.486,0.328,1
5083,8.4,111,4.9,2.7,2.56,0.315,1
5083.5,8.3,108,4.9,2.8,2.544,0.294,1
5084,8.3,109,5.1,2.8,2.541,0.274,1
5084.5,8.4,112,5.4,3,2.589,0.264,1
5085,8.9,123,5.6,3.1,2.658,0.247,1
5085.5,8.7,133,5.8,3.2,2.669,0.241,1
5086,8.3,135,5.6,3,2.63,0.259,1
5086.5,8.3,130,5.3,3,2.597,0.286,1
5087,8.3,124,4.9,2.9,2.468,0.322,1
5087.5,8.6,117,4.6,3.1,2.428,0.338,1
5088,8.6,115,4.3,3.1,2.462,0.355,1
5088.5,8.4,108,4.1,3.2,2.425,0.378,1
5089,8.7,113,4,2.9,2.362,0.368,1
5089.5,8.8,110,3.8,2.9,2.316,0.334,1
5090,8.4,110,3.7,2.9,2.411,0.314,1
5090.5,9.2,110,3.7,3,2.533,0.291,1
5091,9.5,110,3.8,3.2,2.602,0.294,1
5091.5,8.9,111,3.9,3.1,2.528,0.295,1
5092,8.4,107,4,3.1,2.515,0.327,1
5092.5,8.7,105,4.1,2.6,2.516,0.339,1
5093,8.9,109,4.2,2.6,2.485,0.328,1
5093.5,8.9,112,4.2,2.7,2.486,0.294,1
5094,8.5,116,4.1,2.7,2.574,0.299,1
5094.5,8.7,114,4.1,2.5,2.448,0.31,1
5095,8.9,112,4.1,2.6,2.366,0.314,1
5095.5,8.9,111,4.1,2.7,2.34,0.31,1
5096,8.6,113,4.2,2.8,2.48,0.318,1
5096.5,8.7,119,4.3,2.5,2.474,0.334,1
5097,8.8,123,4.5,2.4,2.419,0.305,1
5097.5,8.8,122,4.7,2.4,2.406,0.264,1
5098,8.7,118,5,2.6,2.544,0.221,1
5098.5,8.6,117,5.3,2.8,2.608,0.21,1
5099,8.4,118,5.7,2.9,2.641,0.214,1
5099.5,8.3,125,6.4,2.9,2.655,0.209,1
5100,8.2,124,6.9,2.8,2.656,0.198,1
5100.5,8.2,120,7.1,2.7,2.646,0.183,1
5101,8.2,111,6.9,2.7,2.633,0.169,1
5101.5,8.2,113,6.1,2.8,2.62,0.168,1
5102,8.2,113,5.2,2.6,2.567,0.224,1
5102.5,8.4,117,4.7,2.5,2.421,0.279,1
5103,8.5,117,4.3,2.9,2.326,0.347,1
5103.5,8.5,116,4,3.1,2.334,0.378,1
5104,8.5,116,3.8,3.4,2.409,0.386,1
5104.5,8.6,113,3.5,3.2,2.416,0.365,1
5105,8.5,112,3.3,3,2.458,0.335,1
5105.5,8.9,109,3.2,2.7,2.468,0.335,1
5106,9.2,105,3.2,2.4,2.382,0.359,1
5106.5,9.4,105,3.3,2.4,2.231,0.36,1
5107,8.9,103,3.5,2.6,2.286,0.36,1
5107.5,8.9,107,3.7,2.8,2.331,0.328,1
5108,8.9,106,3.8,2.8,2.478,0.317,1
5108.5,9,109,3.8,2.8,2.528,0.292,1
5109,9.1,106,3.9,3,2.552,0.28,1
5109.5,9,108,4,3,2.591,0.277,1
5110,9,109,4.1,3,2.588,0.286,1
5110.5,8.9,113,4.2,3,2.567,0.289,1
5111,8.9,115,4.2,3.2,2.567,0.299,1
5111.5,9.1,113,4.2,3.3,2.58,0.284,1
5112,8.9,110,4.1,3.5,2.588,0.289,1
5112.5,9.2,106,4.1,3.6,2.579,0.282,1
5113,9.3,107,4.1,3.4,2.566,0.289,1
5113.5,9.4,110,4,3.1,2.534,0.297,1
5114,9.3,111,4,2.9,2.52,0.303,1
5114.5,9.1,109,4,2.9,2.525,0.295,1
5115,9.1,109,3.9,2.9,2.557,0.292,1
5115.5,9.1,108,3.9,3.2,2.55,0.28,1
5116,9.1,109,3.9,3.3,2.581,0.283,1
5116.5,9.2,108,3.9,3.3,2.597,0.281,1
5117,9.1,109,3.9,3.1,2.59,0.285,1
5117.5,9.2,109,3.9,3.1,2.581,0.279,1
5118,9.4,108,3.9,3,2.588,0.263,1
5118.5,9.4,110,3.9,3.1,2.613,0.255,1
5119,9.3,112,3.9,3.2,2.612,0.269,1
5119.5,9.4,114,3.9,3.4,2.613,0.271,1
5120,9.4,116,3.9,3.3,2.617,0.269,1
5120.5,9.4,116,3.9,3.4,2.604,0.289,1
5121,9.4,111,3.9,3.1,2.584,0.314,1
5121.5,9.5,106,3.9,3,2.572,0.327,1
5122,9.7,107,3.9,2.8,2.528,0.3,1
5122.5,9.7,106,3.9,3,2.528,0.282,1
5123,9.6,109,3.9,3.1,2.569,0.281,1
5123.5,9.5,106,3.9,3.1,2.587,0.282,1
5124,9.6,110,3.9,3.1,2.577,0.291,1
5124.5,9.6,109,3.9,3.2,2.572,0.285,1
5125,9.6,107,3.9,3.3,2.597,0.294,1
5125.5,9.7,103,3.9,3.2,2.613,0.287,1
5126,9.7,102,3.9,3.2,2.628,0.297,1
5126.5,9.7,105,3.9,3.2,2.603,0.289,1
5127,9.7,110,3.9,3.2,2.586,0.294,1
5127.5,9.8,112,3.9,3,2.581,0.287,1
5128,9.7,113,3.9,3,2.582,0.287,1
5128.5,9.7,109,3.9,2.9,2.591,0.3,1
5129,9.7,107,3.9,3,2.604,0.299,1
5129.5,9.8,105,3.9,3.1,2.622,0.306,1
5130,9.7,107,3.9,3.2,2.613,0.296,1
5130.5,9.8,112,3.9,3.2,2.62,0.293,1
5131,9.8,111,3.9,3.1,2.634,0.287,1
5131.5,9.9,110,3.9,3.1,2.622,0.278,1
5132,9.9,111,3.9,3,2.608,0.27,1
5132.5,9.9,114,3.9,3.2,2.604,0.281,1
5133,10,116,3.9,3.1,2.615,0.283,1
5133.5,9.8,112,3.9,3.3,2.603,0.292,1
5134,9.9,110,3.9,3.1,2.593,0.287,1
5134.5,10,110,3.9,3.3,2.581,0.302,1
5135,9.9,108,3.9,3.2,2.586,0.317,1
5135.5,10,104,3.9,3,2.529,0.328,1
5136,10.1,103,3.9,2.8,2.471,0.317,1
5136.5,10.1,104,3.9,2.7,2.472,0.309,1
5137,10.2,106,3.9,2.7,2.536,0.298,1
5137.5,10,110,3.9,2.7,2.596,0.303,1
5138,10,114,3.8,2.8,2.595,0.301,1
5138.5,10,115,3.9,3,2.613,0.305,1
5139,10,116,3.9,3.2,2.616,0.292,1
5139.5,10.1,115,3.9,3.1,2.61,0.301,1
5140,10.1,113,3.9,3.1,2.613,0.293,1
5140.5,10.1,108,4,3.2,2.612,0.291,1
5141,10.1,107,4,3.4,2.604,0.284,1
5141.5,10.2,106,4,3.3,2.61,0.271,1
5142,10.2,108,3.9,3.2,2.602,0.267,1
5142.5,10.2,105,3.9,3,2.599,0.278,1
5143,10.4,107,3.9,3,2.58,0.298,1
5143.5,10.5,101,3.9,2.9,2.564,0.326,1
5144,10.4,100,3.8,3,2.554,0.322,1
5144.5,10.5,98,3.7,3.1,2.582,0.323,1
5145,10.6,97,3.7,3.1,2.599,0.3,1
5145.5,10.5,99,3.6,3.1,2.585,0.302,1
5146,10.5,102,3.5,3,2.562,0.285,1
5146.5,10.4,106,3.5,3.1,2.551,0.286,1
5147,10.4,109,3.4,3,2.568,0.279,1
5147.5,10.6,108,3.3,3.1,2.585,0.279,1
5148,10.4,107,3.3,3.2,2.588,0.29,1
5148.5,10.4,107,3.2,3.2,2.583,0.281,1
5149,10.5,112,3.2,3.2,2.585,0.272,1
5149.5,10.4,110,3.2,3.3,2.564,0.273,1
5150,10.4,113,3.1,3.4,2.549,0.278,1
5150.5,10.3,109,3.1,3.4,2.55,0.286,1
5151,10.3,110,3.1,3.4,2.542,0.282,1
5151.5,10.3,107,3.1,3.4,2.539,0.296,1
5152,10.2,106,3,3.3,2.537,0.297,1
5152.5,10.2,107,3,3.2,2.551,0.295,1
5153,10.3,104,3,3.1,2.54,0.279,1
5153.5,10.3,104,3,3.1,2.55,0.266,1
5154,10.3,108,3.1,3.2,2.564,0.269,1
5154.5,10.3,107,3.1,3.4,2.566,0.282,1
5155,10.3,109,3.1,3.3,2.576,0.291,1
5155.5,10.3,106,3.2,3.4,2.586,0.282,1
5156,10.3,108,3.2,3.4,2.6,0.282,1
5156.5,10.3,106,3.2,3.5,2.609,0.28,1
5157,10.3,107,3.2,3.5,2.62,0.283,1
5157.5,10.3,107,3.3,3.2,2.619,0.274,1
5158,10.3,108,3.3,3.2,2.6,0.281,1
5158.5,10.2,108,3.3,3.1,2.595,0.277,1
5159,10.2,107,3.3,3.3,2.594,0.296,1
5159.5,10.2,110,3.3,3.3,2.612,0.29,1
5160,10.2,111,3.2,3.3,2.589,0.3,1
5160.5,10.2,111,3.3,3.4,2.577,0.28,1
5161,10.3,114,3.3,3.3,2.567,0.284,1
5161.5,10.3,109,3.3,3.5,2.575,0.282,1
5162,10.3,110,3.3,3.3,2.581,0.283,1
5162.5,10.3,104,3.3,3.3,2.583,0.262,1
5163,10.4,104,3.3,3.2,2.581,0.271,1
5163.5,10.4,101,3.3,3.1,2.586,0.294,1
5164,10.4,100,3.3,3,2.595,0.311,1
5164.5,10.3,103,3.3,3,2.594,0.297,1
5165,10.3,105,3.4,3.1,2.589,0.284,1
5165.5,10.3,108,3.4,3.2,2.585,0.286,1
5166,10.4,108,3.4,3.3,2.58,0.317,1
5166.5,10.3,108,3.4,3.4,2.588,0.322,1
5167,10.3,110,3.4,3.5,2.588,0.309,1
5167.5,10.3,112,3.3,3.3,2.58,0.288,1
5168,10.3,114,3.3,3.1,2.571,0.281,1
5168.5,10.3,112,3.3,3.1,2.57,0.289,1
5169,10.3,107,3.3,3.1,2.592,0.283,1
5169.5,10.4,104,3.3,3.2,2.598,0.283,1
5170,10.4,106,3.3,3.1,2.586,0.297,1
5170.5,10.4,109,3.3,3.1,2.581,0.299,1
5171,10.4,108,3.3,3.1,2.594,0.315,1
5171.5,10.4,106,3.3,3.1,2.613,0.321,1
5172,10.4,106,3.3,3.1,2.618,0.317,1
5172.5,10.4,110,3.3,3.2,2.625,0.305,1
5173,10.3,107,3.3,3.2,2.606,0.3,1
5173.5,10.4,103,3.4,3.3,2.609,0.317,1
5174,10.4,105,3.6,3.3,2.596,0.323,1
5174.5,10.3,105,3.7,3.5,2.601,0.289,1
5175,10.3,104,3.8,3.9,2.615,0.252,1
5175.5,10.3,101,3.8,3.9,2.65,0.22,1
5176,10.3,103,3.9,3.7,2.661,0.235,1
5176.5,10.3,101,4,3.5,2.641,0.236,1
5177,10.3,95,4,3.9,2.625,0.25,1
5177.5,10.2,91,4,3.8,2.641,0.259,1
5178,10.5,93,3.7,3.5,2.629,0.292,1
5178.5,10.5,98,3.6,3.2,2.594,0.305,1
5179,10.4,101,3.5,3.1,2.589,0.31,1
5179.5,10.4,100,3.4,3.2,2.577,0.297,1
5180,10.5,100,3.3,3.2,2.576,0.303,1
5180.5,10.5,103,3.3,3.4,2.59,0.306,1
5181,10.4,102,3.2,3.4,2.585,0.309,1
5181.5,10.4,100,3.2,3.3,2.566,0.3,1
5182,10.5,97,3.3,3.2,2.58,0.282,1
5182.5,10.4,100,3.3,3.3,2.583,0.293,1
5183,10.4,101,3.3,3.3,2.598,0.309,1
5183.5,10.4,100,3.3,3.2,2.607,0.308,1
5184,10.4,101,3.3,3.2,2.617,0.301,1
5184.5,10.4,103,3.3,3.2,2.617,0.276,1
5185,10.5,102,3.3,3.3,2.599,0.29,1
5185.5,10.5,99,3.3,3.4,2.589,0.279,1
5186,10.5,95,3.3,3.4,2.586,0.277,1
5186.5,10.6,98,3.3,3.2,2.609,0.278,1
5187,10.6,98,3.3,3.3,2.608,0.272,1
5187.5,10.5,102,3.3,3.2,2.608,0.285,1
5188,10.6,100,3.3,3.3,2.601,0.278,1
5188.5,10.5,104,3.3,3.1,2.589,0.295,1
5189,10.6,105,3.3,3.2,2.571,0.282,1
5189.5,10.6,109,3.3,3.2,2.573,0.276,1
5190,10.6,107,3.3,3.3,2.585,0.268,1
5190.5,10.6,104,3.3,3.2,2.584,0.281,1
5191,10.5,103,3.3,3.1,2.577,0.304,1
5191.5,10.6,104,3.3,3.1,2.592,0.299,1
5192,10.5,106,3.3,3.1,2.602,0.28,1
5192.5,10.5,107,3.3,3.2,2.599,0.271,1
5193,10.6,104,3.3,3.2,2.59,0.277,1
5193.5,10.5,105,3.3,3.2,2.578,0.276,1
5194,10.5,101,3.3,3.2,2.58,0.272,1
5194.5,10.5,104,3.3,3.2,2.583,0.274,1
5195,10.6,103,3.3,3.3,2.58,0.287,1
5195.5,10.5,108,3.3,3.3,2.562,0.293,1
5196,10.5,106,3.3,3.3,2.562,0.294,1
5196.5,10.4,102,3.3,3.2,2.565,0.295,1
5197,10.4,99,3.2,3.2,2.573,0.294,1
